"species","clade","family","wingspan_cm","mass_kg","humerus_cm","ulna_cm","mc_iv_cm","wph1_cm","original_curvature","optimized_curvature","curvature_change","wing_area_cm2","wing_loading","aspect_ratio","stress_estimate","second_moment"
"Campylognathoides_liasicus","Non-breviquartossan","Novialoidea",91.5,0.228,5,6,2.3,9.3,0.14,0.29,0.15,82.9393837155542,269.676467294577,25.2360507907593,53.682453177735,22015.3102620243
"Campylognathoides_zitteli","Non-breviquartossan","Novialoidea",161.2,1.029,7.4,8.9,3.6,17.6,0.14,0.29,0.15,225.731334824929,447.190462406515,28.779167965486,83.3591764751151,186088.734226921
"Sordes_pilosus","Rhamphorhynchidae","Scaphognathinae",98.59,0.278,4,6.1,1.8,5.5,0.15,0.3,0.15,73.4335267614884,371.380773915144,33.091111542179,64.560032323426,10088.4288997696
"Jianchangnathus_robustus","Rhamphorhynchidae","Scaphognathinae",97.2,0.268,6.6,10,3.8,8.4,0.15,0.3,0.15,120.248017448303,218.638116102854,19.6424028447326,49.3319826107299,34040.9207995318
"Harpactognathus_gentryii","Rhamphorhynchidae","Scaphognathinae",251,3.3,12.7,20.8,6.3,23.4,0.15,0.3,0.15,911.300035712882,355.239753443832,17.2832759604569,85.4493036320735,1806186.28231899
"Scaphognathus_crassirostris","Rhamphorhynchidae","Scaphognathinae",96,0.259,NA,NA,NA,NA,0.15,0.3,0.15,366.329625148799,69.3580269127281,6.28941762235075,27.656136707206,193701.739199976
"Dorygnathus_banthensis","Rhamphorhynchidae","Rhamphorhynchinae",131.3,0.597,8,13.3,3.8,9.9,0.15,0.3,0.15,181.654083841147,322.402330636368,23.7259873759235,66.1890313108779,97200.7707220616
"Klobiodon_rochei","Rhamphorhynchidae","Rhamphorhynchinae",154.6,0.921,8.1,12.8,3.9,14.4,0.15,0.3,0.15,345.835320259393,261.251800227441,17.2778477210432,62.8513297832236,260693.154031911
"Parapsicephalus_purdoni","Rhamphorhynchidae","Rhamphorhynchinae",171.4,1.211,8.9,14.2,4.3,15.9,0.15,0.3,0.15,419.199559431535,283.395097459311,17.5202712759519,67.7051835532394,388205.946166252
"Qinglongopterus_guoi","Rhamphorhynchidae","Rhamphorhynchinae",33,0.015,1.7,3.4,0.8,3.2,0.15,0.3,0.15,16.4169847831352,89.6327808935805,16.5834349971303,22.0104856124503,572.23427810822
"Dearc_sgiathanach","Rhamphorhynchidae","Rhamphorhynchinae",171.4,1.212,10.5,15.6,3.7,18.9,0.15,0.3,0.15,437.279164157914,271.902276041359,16.7958837328634,66.3454911039725,409020.774207547
"Angustinaripterus_longicephalus","Rhamphorhynchidae","Rhamphorhynchinae",174.4,1.268,8.8,14.3,4.3,16.2,0.15,0.3,0.15,435.08328364317,285.901124397181,17.4767459147803,68.388893515957,410162.238627821
"Sericipterus_wucaiwanensis","Rhamphorhynchidae","Scaphognathinae",148.2,0.8,10.3,12.7,3.8,12.7,0.15,0.3,0.15,329.889468337104,237.897864383484,16.6443931286376,58.3118152035439,227214.738637637
